#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RPB11	RPB7	634339	630265	4932.YOL005C	4932.YDR404C	0	0	0	0	0.150	0.997	0.900	0.867	0.999
RET1	RPC10	634739	631710	4932.YOR207C	4932.YHR143W-A	0	0	0	0	0	0.997	0.900	0.579	0.999
RPO26	RPB7	635441	630265	4932.YPR187W	4932.YDR404C	0	0	0	0	0.152	0.999	0.900	0.960	0.999
RPA12	RPB5	632346	629214	4932.YJR063W	4932.YBR154C	0	0	0	0	0.378	0.997	0.900	0.731	0.999
ILV5	ILV3	633258	632299	4932.YLR355C	4932.YJR016C	0.321	0	0.344	0	0.877	0.590	0.959	0.791	0.999
RPO26	RPA12	635441	632346	4932.YPR187W	4932.YJR063W	0	0	0	0	0.674	0.997	0.900	0.772	0.999
ARG1	ARG4	634397	631560	4932.YOL058W	4932.YHR018C	0.321	0	0.484	0	0.989	0	0.959	0.809	0.999
RPC40	RPC25	635350	632605	4932.YPR110C	4932.YKL144C	0	0	0	0	0.319	0.997	0.900	0.613	0.999
ARO2	ARO1	631039	629961	4932.YGL148W	4932.YDR127W	0.571	0	0	0	0.979	0.129	0.965	0.797	0.999
RPB4	RPB9	632192	630960	4932.YJL140W	4932.YGL070C	0	0	0	0	0.096	0.997	0.900	0.931	0.999
RPC19	RPB5	634016	629214	4932.YNL113W	4932.YBR154C	0.057	0	0	0	0.876	0.997	0.900	0.931	0.999
RPO26	RPA190	635441	634880	4932.YPR187W	4932.YOR341W	0.042	0	0	0	0.183	0.997	0.900	0.707	0.999
RPB8	RPO21	634756	629709	4932.YOR224C	4932.YDL140C	0	0	0	0	0.047	0.999	0.900	0.870	0.999
RPB3	RPO21	631829	629709	4932.YIL021W	4932.YDL140C	0.321	0	0	0	0.363	0.999	0.925	0.950	0.999
RPO26	RPO21	635441	629709	4932.YPR187W	4932.YDL140C	0.042	0	0	0	0.085	0.999	0.900	0.933	0.999
RPB11	RPC10	634339	631710	4932.YOL005C	4932.YHR143W-A	0	0	0	0	0.196	0.997	0.900	0.930	0.999
RPC40	RPC19	635350	634016	4932.YPR110C	4932.YNL113W	0	0	0	0	0.586	0.997	0.958	0.951	0.999
RPB11	RPB9	634339	630960	4932.YOL005C	4932.YGL070C	0.321	0	0	0	0.324	0.997	0.900	0.823	0.999
RPA135	RPO21	635246	629709	4932.YPR010C	4932.YDL140C	0.321	0	0	0	0.978	0.828	0.273	0.555	0.999
RPB8	RPC10	634756	631710	4932.YOR224C	4932.YHR143W-A	0	0	0	0	0.383	0.997	0.900	0.951	0.999
RPA135	RPA12	635246	632346	4932.YPR010C	4932.YJR063W	0	0	0	0	0.571	0.993	0.900	0.755	0.999
RPA135	RPB10	635246	634742	4932.YPR010C	4932.YOR210W	0.056	0	0	0	0.125	0.997	0.900	0.626	0.999
RPB10	RPB9	634742	630960	4932.YOR210W	4932.YGL070C	0	0	0	0	0.148	0.997	0.900	0.834	0.999
RPB10	RPB5	634742	629214	4932.YOR210W	4932.YBR154C	0.053	0	0	0	0.461	0.997	0.900	0.951	0.999
RPB3	RPB7	631829	630265	4932.YIL021W	4932.YDR404C	0	0	0	0	0.112	0.999	0.900	0.903	0.999
RPB2	RPO31	634676	634639	4932.YOR151C	4932.YOR116C	0.321	0	0	0	0.982	0.828	0.273	0.678	0.999
RPB4	RPB7	632192	630265	4932.YJL140W	4932.YDR404C	0	0	0	0	0.133	0.997	0.900	0.973	0.999
RPC40	RPA190	635350	634880	4932.YPR110C	4932.YOR341W	0.321	0	0	0	0.545	0.996	0.958	0.660	0.999
RPO26	RPO31	635441	634639	4932.YPR187W	4932.YOR116C	0.042	0	0	0	0.140	0.997	0.900	0.789	0.999
HIS5	HIS4	631934	629406	4932.YIL116W	4932.YCL030C	0.560	0.895	0.503	0	0.996	0.083	0.609	0.731	0.999
RPC40	RPB10	635350	634742	4932.YPR110C	4932.YOR210W	0.321	0	0	0	0.279	0.997	0.900	0.823	0.999
RPO31	RPC10	634639	631710	4932.YOR116C	4932.YHR143W-A	0	0	0	0	0	0.982	0.900	0.627	0.999
RPA135	RPB5	635246	629214	4932.YPR010C	4932.YBR154C	0.321	0	0	0	0.420	0.997	0.900	0.656	0.999
RPB10	RPB7	634742	630265	4932.YOR210W	4932.YDR404C	0	0	0	0	0.096	0.997	0.900	0.931	0.999
RPB10	RPB11	634742	634339	4932.YOR210W	4932.YOL005C	0	0	0	0	0.718	0.997	0.900	0.930	0.999
RPB9	RPO21	630960	629709	4932.YGL070C	4932.YDL140C	0	0	0	0	0.149	0.997	0.900	0.896	0.999
RPB9	RPB7	630960	630265	4932.YGL070C	4932.YDR404C	0	0	0	0	0.101	0.997	0.900	0.840	0.999
RPB10	RPB3	634742	631829	4932.YOR210W	4932.YIL021W	0.321	0	0	0	0.113	0.999	0.900	0.870	0.999
TFB2	TFB3	635065	630322	4932.YPL122C	4932.YDR460W	0	0	0	0	0.055	0.995	0.900	0.784	0.999
RPC40	RPB5	635350	629214	4932.YPR110C	4932.YBR154C	0.076	0	0	0	0.413	0.997	0.900	0.818	0.999
TFB2	TFB1	635065	630159	4932.YPL122C	4932.YDR311W	0	0	0	0	0.131	0.986	0.900	0.958	0.999
RPO26	RPC40	635441	635350	4932.YPR187W	4932.YPR110C	0.321	0	0	0	0.677	0.997	0.900	0.906	0.999
RPC40	RPB8	635350	634756	4932.YPR110C	4932.YOR224C	0	0	0	0	0.369	0.997	0.900	0.925	0.999
MET14	MET3	632450	632293	4932.YKL001C	4932.YJR010W	0.321	0.897	0	0	0.991	0	0.959	0.898	0.999
RPA135	RPC10	635246	631710	4932.YPR010C	4932.YHR143W-A	0	0	0	0	0.100	0.997	0.900	0.525	0.999
