#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RPB8	RPB10	634756	634742	4932.YOR224C	4932.YOR210W	0	0	0	0	0.417	0.997	0.900	0.951	0.999
RPA135	RPC19	635246	634016	4932.YPR010C	4932.YNL113W	0.043	0	0	0	0.359	0.996	0.958	0.574	0.999
RET1	RPO31	634739	634639	4932.YOR207C	4932.YOR116C	0.321	0	0.425	0	0.994	0.994	0.924	0.839	0.999
RET1	RPB5	634739	629214	4932.YOR207C	4932.YBR154C	0.321	0	0	0	0.111	0.997	0.900	0.653	0.999
FAS2	CEM1	635179	630580	4932.YPL231W	4932.YER061C	0.560	0	0	0	0.958	0	0.964	0.467	0.999
RPO26	RPB2	635441	634676	4932.YPR187W	4932.YOR151C	0	0	0.217	0	0.097	0.999	0.900	0.933	0.999
RPC25	RPC10	632605	631710	4932.YKL144C	4932.YHR143W-A	0	0	0	0	0.189	0.983	0.900	0.779	0.999
RET1	RPC19	634739	634016	4932.YOR207C	4932.YNL113W	0.043	0	0	0	0.136	0.996	0.923	0.615	0.999
RET1	RPC25	634739	632605	4932.YOR207C	4932.YKL144C	0	0	0	0	0.064	0.997	0.900	0.622	0.999
RPO26	RPB10	635441	634742	4932.YPR187W	4932.YOR210W	0.321	0	0	0	0.563	0.997	0.900	0.951	0.999
RPC25	RPB5	632605	629214	4932.YKL144C	4932.YBR154C	0	0	0	0	0.277	0.997	0.900	0.668	0.999
RET1	RPB3	634739	631829	4932.YOR207C	4932.YIL021W	0.321	0	0	0	0.582	0.878	0.925	0.450	0.998
TFB2	RPB4	635065	632192	4932.YPL122C	4932.YJL140W	0	0	0	0	0	0.983	0.900	0.144	0.998
RPC19	RPB3	634016	631829	4932.YNL113W	4932.YIL021W	0	0	0	0	0.226	0.987	0.277	0.835	0.998
TFB2	RPB7	635065	630265	4932.YPL122C	4932.YDR404C	0	0	0	0	0.054	0.988	0.900	0.067	0.998
TFB2	RPB9	635065	630960	4932.YPL122C	4932.YGL070C	0	0	0	0	0	0.983	0.900	0.063	0.998
HIS1	HIS7	630572	629319	4932.YER055C	4932.YBR248C	0.560	0	0.410	0	0.877	0.590	0.610	0.617	0.997
MET16	MET3	635418	632293	4932.YPR167C	4932.YJR010W	0.321	0	0	0	0.932	0	0.611	0.831	0.996
TFB2	RPO21	635065	629709	4932.YPL122C	4932.YDL140C	0	0	0	0	0.072	0.959	0.900	0.158	0.996
FAS1	OAR1	632646	632509	4932.YKL182W	4932.YKL055C	0.466	0	0	0	0.097	0.695	0.959	0.555	0.996
RPA135	RET1	635246	634739	4932.YPR010C	4932.YOR207C	0	0	0	0.739	0.973	0.749	0	0.808	0.994
TFB2	RPB5	635065	629214	4932.YPL122C	4932.YBR154C	0	0	0	0	0.054	0.948	0.900	0.072	0.994
RPC40	RPB2	635350	634676	4932.YPR110C	4932.YOR151C	0.321	0	0	0	0.596	0.911	0.287	0.748	0.994
TFB2	RPB11	635065	634339	4932.YPL122C	4932.YOL005C	0	0	0	0	0.059	0.948	0.900	0	0.994
RET1	RPB11	634739	634339	4932.YOR207C	4932.YOL005C	0.043	0	0	0	0.083	0.878	0.923	0.461	0.994
OAR1	CEM1	632509	630580	4932.YKL055C	4932.YER061C	0.151	0	0.440	0	0	0.213	0.920	0.821	0.993
RET1	RPB4	634739	632192	4932.YOR207C	4932.YJL140W	0	0	0	0	0	0.917	0.900	0.290	0.993
TFB2	RPB3	635065	631829	4932.YPL122C	4932.YIL021W	0	0	0	0	0.101	0.923	0.900	0.068	0.992
FAS2	OAR1	635179	632509	4932.YPL231W	4932.YKL055C	0.495	0	0	0	0	0.691	0.920	0.466	0.992
RET1	RPB7	634739	630265	4932.YOR207C	4932.YDR404C	0	0	0	0	0.053	0.878	0.900	0.341	0.991
RPC19	RPO21	634016	629709	4932.YNL113W	4932.YDL140C	0.045	0	0	0	0.088	0.959	0.263	0.686	0.990
ARG4	HIS4	631560	629406	4932.YHR018C	4932.YCL030C	0.092	0	0	0	0.864	0	0	0.932	0.990
ACC1	CEM1	634270	630580	4932.YNR016C	4932.YER061C	0.560	0	0	0	0.894	0	0.648	0.478	0.990
RPC40	RPO21	635350	629709	4932.YPR110C	4932.YDL140C	0.321	0	0	0	0.363	0.918	0.287	0.661	0.989
RPA12	RPB3	632346	631829	4932.YJR063W	4932.YIL021W	0	0	0	0	0.100	0.969	0	0.621	0.988
RET1	RPB9	634739	630960	4932.YOR207C	4932.YGL070C	0	0	0	0	0.055	0.782	0.900	0.484	0.987
RPA135	RPB3	635246	631829	4932.YPR010C	4932.YIL021W	0.321	0	0	0	0.582	0.879	0.287	0.464	0.984
RPO31	RPB9	634639	630960	4932.YOR116C	4932.YGL070C	0	0	0	0	0.055	0.967	0	0.508	0.983
RPO31	RPB3	634639	631829	4932.YOR116C	4932.YIL021W	0.321	0	0	0	0.363	0.880	0.287	0.615	0.983
PHA2	HIS5	634227	631934	4932.YNL316C	4932.YIL116W	0.321	0	0	0	0.084	0.045	0.959	0.333	0.981
RPC25	RPO21	632605	629709	4932.YKL144C	4932.YDL140C	0	0	0	0	0	0.961	0	0.538	0.981
RPC40	RPB11	635350	634339	4932.YPR110C	4932.YOL005C	0	0	0	0	0.179	0.906	0.277	0.692	0.980
RPA190	RPB3	634880	631829	4932.YOR341W	4932.YIL021W	0.321	0	0	0	0.363	0.879	0.287	0.535	0.979
RPC25	RPB4	632605	632192	4932.YKL144C	4932.YJL140W	0	0	0	0	0.087	0.920	0	0.716	0.977
RPB3	TFB1	631829	630159	4932.YIL021W	4932.YDR311W	0	0	0	0	0.049	0.656	0.900	0.357	0.976
TFB2	RPB8	635065	634756	4932.YPL122C	4932.YOR224C	0	0	0	0	0.080	0.755	0.900	0	0.975
RPB2	RPC19	634676	634016	4932.YOR151C	4932.YNL113W	0.043	0	0	0	0.083	0.879	0.263	0.731	0.975
RPA135	RPB2	635246	634676	4932.YPR010C	4932.YOR151C	0	0	0	0.715	0.153	0.965	0	0.721	0.975
TFB2	RPB10	635065	634742	4932.YPL122C	4932.YOR210W	0	0	0	0	0	0.755	0.900	0	0.974
PHA2	ARO8	634227	631095	4932.YNL316C	4932.YGL202W	0	0	0	0	0	0	0.959	0.376	0.973
RPC19	RPB7	634016	630265	4932.YNL113W	4932.YDR404C	0	0	0	0	0.141	0.906	0	0.692	0.972
RPC19	RPB9	634016	630960	4932.YNL113W	4932.YGL070C	0.321	0	0	0	0.229	0.853	0	0.665	0.970
RPC19	RPB4	634016	632192	4932.YNL113W	4932.YJL140W	0	0	0	0	0.091	0.920	0	0.605	0.968
RPC40	RPB4	635350	632192	4932.YPR110C	4932.YJL140W	0	0	0	0	0.044	0.920	0	0.607	0.967
RPB2	RPC25	634676	632605	4932.YOR151C	4932.YKL144C	0	0	0	0	0.042	0.917	0	0.606	0.966
RPA190	RPB11	634880	634339	4932.YOR341W	4932.YOL005C	0.045	0	0	0	0.088	0.879	0.263	0.620	0.965
RPO31	RPB11	634639	634339	4932.YOR116C	4932.YOL005C	0.045	0	0	0	0.088	0.878	0.263	0.621	0.965
RPC40	RPB7	635350	630265	4932.YPR110C	4932.YDR404C	0	0	0	0	0.098	0.906	0	0.610	0.964
RPB11	RPA12	634339	632346	4932.YOL005C	4932.YJR063W	0.321	0	0	0	0.229	0.853	0	0.573	0.962
RPC25	RPA12	632605	632346	4932.YKL144C	4932.YJR063W	0	0	0	0	0.532	0.853	0	0.498	0.962
RPC25	RPB3	632605	631829	4932.YKL144C	4932.YIL021W	0	0	0	0	0.097	0.906	0	0.583	0.961
PHA2	ARO1	634227	629961	4932.YNL316C	4932.YDR127W	0.571	0	0	0	0.300	0	0.665	0.646	0.959
RPA190	RPO31	634880	634639	4932.YOR341W	4932.YOR116C	0	0	0.377	0.708	0.938	0	0	0.840	0.958
TFB3	RPO21	630322	629709	4932.YDR460W	4932.YDL140C	0	0	0	0	0	0.119	0.900	0.544	0.956
RPA12	RPB4	632346	632192	4932.YJR063W	4932.YJL140W	0	0	0	0	0	0.906	0	0.511	0.952
RPB11	RPC25	634339	632605	4932.YOL005C	4932.YKL144C	0	0	0	0	0.141	0.906	0	0.448	0.951
FAS2	ARO1	635179	629961	4932.YPL231W	4932.YDR127W	0.560	0	0	0	0.816	0.056	0	0.426	0.950
